workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
LeapMap,2,1000,100000000,1000,false,I64,Sum,0,0,+1.076128e6,0.942849548,0.95385109,0.937611561,0.938458891,0.936454585,0.9376472,0.939455624,0.949972719,0.943479034,+6.24e-6,+9.39448544e-1,+0e0,+7.6e-7
AtomicPau,2,1000,100000000,1000,false,I64,Sum,0,0,+1.06116e6,0.576973953,0.412781118,0.577352438,0.409202671,0.581273368,0.421413709,0.586650877,0.402369464,0.581600812,+2.2e-6,+0e0,+5.76971073e-1,+1.2e-7
LockingPau,2,1000,100000000,1000,false,I64,Sum,0,0,+1.079304e6,5.559826845,2.983744185,2.940509826,2.9715261440000003,5.562585025,2.970195842,5.554131546,3.073810931,2.953116936,+7.64e-6,+0e0,+2.983734705e0,+3.2e-7
ThreadLocalPau,2,1000,100000000,1000,false,I64,Sum,0,0,+1.073376e6,0.187589535,0.187838258,0.187576574,0.187527534,0.187885219,0.187450173,0.187485493,0.187897779,0.187512333,+1.6e-7,+0e0,+1.87494293e-1,+8.2841e-5
AtomicE2E,2,1000,100000000,1000,false,I64,Sum,0,0,+1.146168e6,1.06594308,1.031893642,0.995398132,1.057045166,1.064366979,1.2633986209999999,1.065362552,1.19500962,1.064742903,+4.8e-6,+7.333549799068487e-1,+3.314606295855071e-1,+3.16e-6
ThreadLocalE2E,2,1000,100000000,1000,false,I64,Sum,0,0,+1.158384e6,0.821195609,0.822029179,0.821275929,0.823188393,0.822252622,0.822470224,0.822443744,0.82218386,0.822422663,+4.84e-6,+7.338061157608076e-1,+8.835296633326149e-2,+9.9601e-5
PartitionedE2E,2,1000,100000000,1000,false,I64,Sum,0,0,+1.029144e6,0.748096426,0.748827556,0.748002785,0.749323481,0.751269427,0.748298909,0.748280388,0.749587404,0.748111666,+2.4e-7,+7.48144787e-1,+9.1721e-5,+7.3281e-5
AtomicE2E,2,1000,100000000,1000,false,I64,Sum,0.8,0,+1.146168e6,1.006894915,1.4981292339999999,1.015414064,1.475073217,1.011070527,1.023311285,1.185307648,1.164951867,1.206054114,+4.32e-6,+7.245065741149145e-1,+4.4040555998727593e-1,+2e-6
ThreadLocalE2E,2,1000,100000000,1000,false,I64,Sum,0.8,0,+1.158384e6,0.814417556,0.812116407,0.812896696,0.813125459,0.814235114,0.812239648,0.814094911,0.812157167,0.814455716,+4.24e-6,+7.250672747629571e-1,+8.837519030262074e-2,+8.2321e-5
PartitionedE2E,2,1000,100000000,1000,false,I64,Sum,0.8,0,+1.029128e6,0.728714933,0.736933158,0.72696979,0.728240607,0.727680919,0.73085636,0.72855085,0.728818053,0.731805972,+2.4e-7,+7.28559971e-1,+8.9961e-5,+6.7521e-5
AtomicE2E,2,1000,100000000,1000,false,I64,Sum,0,0.5,+1.146168e6,1.49451818,1.05910602,1.491692783,1.059580985,1.492989079,1.076843048,1.4931928810000001,1.038597875,1.161369213,+4.8e-6,+7.261209482854718e-1,+4.3539402497016144e-1,+2.16e-6
ThreadLocalE2E,2,1000,100000000,1000,false,I64,Sum,0,0.5,+1.158384e6,0.816509059,0.815147601,0.815346563,0.815217242,0.816338896,0.815238602,0.815311723,0.81590385,0.816214174,+3.72e-6,+7.272371466631974e-1,+8.795963152584503e-2,+8.7601e-5
PartitionedE2E,2,1000,100000000,1000,false,I64,Sum,0,0.5,+1.029128e6,0.726667182,0.730560112,0.72565553,0.726903465,0.727448472,0.728693488,0.726575581,0.727216069,0.72655246,+2.4e-7,+7.26724583e-1,+9.2841e-5,+7.7561e-5
CuckooMap,2,10000000,100000000,10000000,false,I64,Sum,0,0,+3.70006384e8,12.464737274,12.476380522,12.468684042,12.465038614000001,12.47089455,12.46150877,12.471520759,12.468898867,12.465181242,+6.612173e-2,+1.2401834023e1,+0e0,+7.3513e-4
DashMap,2,10000000,100000000,10000000,false,I64,Sum,0,0,+2.86331448e8,7.932065425,7.726847825,7.885373573,7.720776215,7.931660193,7.722777428,7.726904636,7.934865416,7.710596854,+6.148678e-3,+7.693975363e0,+0e0,+2.6731263e-2
FolkloreMap,2,10000000,100000000,10000000,false,I64,Sum,0,0,+3.21049176e8,2.107788712,2.108217996,2.108510681,2.109174408,2.107649108,2.107310304,2.108472118,2.108062432,2.10710158,+1.9893055e-2,+2.087350926e0,+0e0,+7.2841e-4
IcebergMap,2,10000000,100000000,10000000,false,I64,Sum,0,0,+2.56932152e8,4.993761107,5.009905312,4.993682983,5.038066148,4.993714299,4.992994327,4.993206287,4.992597998,4.992287272,+1.6071246e-2,+4.976835841e0,+0e0,+7.8361e-4
LeapMap,2,10000000,100000000,10000000,false,I64,Sum,0,0,+4.3725712e8,3.839785774,3.839740892,3.840033495,3.840048814,3.839450245,3.840193614,3.840521416,3.840001329,3.8399727280000002,+5.380421e-2,+3.785241747e0,+0e0,+8.80451e-4
AtomicPau,2,10000000,100000000,10000000,false,I64,Sum,0,0,+8.105316e7,0.945422594,0.945586557,0.945320514,0.951548553,0.94513015,0.951775475,0.945715678,0.945650438,0.945796919,+4.929704e-3,+0e0,+9.40526891e-1,+8e-8
LockingPau,2,10000000,100000000,10000000,false,I64,Sum,0,0,+2.01059304e8,5.554689208,5.551462484,5.551104798,5.635834801,5.550788069,5.553118577,5.5521453229999995,5.55048958,5.552774767,+2.1536316e-2,+0e0,+5.5300346000000005e0,+2.86403e-4
ThreadLocalPau,2,10000000,100000000,10000000,false,I64,Sum,0,0,+1.61057376e8,1.225010771,1.226644831,1.2235809930000001,1.225562897,1.224992611,1.225681019,1.224599805,1.2246794460000001,1.225439616,+1.6e-7,+0e0,+1.201895594e0,+1.6057206e-2
