workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
CuckooMap,2,1000,100000000,1000,true,I64,Sum,0,0,+4.1024e4,4.953465732,5.134810533,4.998451814,4.84318781,4.946033579,4.882147773,4.907171355,4.945954907,4.992508784,+1.912e-5,+4.94601044e0,+0e0,+3.25e-6
DashMap,2,1000,100000000,1000,true,I64,Sum,0,0,+1.1659e6,2.18635772,2.23433787,2.181462692,2.232351854,2.232243093,2.219951944,2.220482584,2.202961187,2.203332163,+1.11098e-4,+2.219738808e0,+0e0,+1.01909e-4
FolkloreMap,2,1000,100000000,1000,true,I64,Sum,0,0,+1.081144e6,0.249778354,0.250215077,0.250148156,0.250268154,0.250031047,0.248749707,0.248295512,0.24962661,0.249558422,+1.746e-5,+2.49756955e-1,+0e0,+3.12e-6
IcebergMap,2,1000,100000000,1000,true,I64,Sum,0,0,+1.07556e6,0.362787916,0.363109026,0.365335672,0.363172323,0.36486287,0.361345753,0.364827681,0.366531555,0.361821949,+1.478e-5,+3.63152553e-1,+0e0,+3.8e-6
LeapMap,2,1000,100000000,1000,true,I64,Sum,0,0,+1.076096e6,0.7286651,0.732202907,0.749019037,0.723616664,0.729244783,0.730485333,0.737039159,0.745480166,0.730796243,+1.808e-5,+7.30772653e-1,+0e0,+4.149e-6
AtomicPau,2,1000,100000000,1000,true,I64,Sum,0,0,+1.061128e6,0.853326199,0.887166178,0.84790299,1.05282639,1.030319853,0.840112893,1.082020139,1.057515039,0.900976104,+3.52e-6,+0e0,+9.00970544e-1,+3e-8
LockingPau,2,1000,100000000,1000,true,I64,Sum,0,0,+1.079272e6,2.5098984680000003,2.511015117,2.506361738,2.512107462,2.499122216,2.463761082,2.50953931,2.518919802,2.513374389,+6.27e-6,+0e0,+2.509888978e0,+2.23e-6
ThreadLocalPau,2,1000,100000000,1000,true,I64,Sum,0,0,+1.073344e6,0.192885836,0.192721348,0.192446053,0.19254212,0.192589394,0.192489977,0.192543715,0.192515407,0.192857421,+3e-8,+0e0,+1.92313154e-1,+2.29217e-4
AtomicE2E,2,1000,100000000,1000,true,I64,Sum,0,0,+1.146136e6,0.510009753,0.433413505,0.450126214,0.437709884,0.416207538,0.456692185,0.446617413,0.444232097,0.439940162,+1.848e-5,+2.1610643652872016e-1,+2.2802836618736536e-1,+7.9e-6
ThreadLocalE2E,2,1000,100000000,1000,true,I64,Sum,0,0,+1.158352e6,0.299636269,0.29814283,0.29823298,0.298155458,0.29858585,0.299562168,0.298726916,0.298558919,0.298175785,+1.694e-5,+2.163672246338838e-1,+8.18496123480041e-2,+2.50066e-4
PartitionedE2E,2,1000,100000000,1000,true,I64,Sum,0,0,+1.029176e6,0.540022087,0.539430278,0.539553079,0.542326524,0.542452805,0.542203749,0.541368236,0.539545508,0.542201841,+3.4e-7,+5.40909693e-1,+2.54557e-4,+1.93137e-4
AtomicE2E,2,1000,100000000,1000,true,I64,Sum,0.8,0,+1.146136e6,0.447601399,0.41360356,0.396094909,0.403566434,0.504969194,0.403752181,0.47045297,0.390458347,0.422647491,+1.889e-5,+2.013019690565111e-1,+2.1223006313155385e-1,+3.43e-6
