workload,threads,keys,elements,capacity,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
PartitionedE2E,1,100000000,100000000,100000000,0,0,+9.038140177726746e0,7.17348759,7.17224979,7.172023003,7.174509049,7.175774077,7.172191325,7.172805092,7.172702452,7.17260206,+5.8e-7,+1.240316717e0,+5.833826802e0,+9.877281e-2
AtomicE2E,2,1000,100000000,1000,0,0,+1.071333885192871e-3,0.346178734,0.377316451,0.708829092,0.330959821,0.318182666,0.372884316,0.377061286,0.422291016,0.522520343,+2.283e-5,+1.8566726343549234e-1,+1.9136097256450768e-1,+8.79e-6
LockingE2E,2,1000,100000000,1000,0,0,+1.088261604309082e-3,1.005275014,1.04546671,1.052173267,1.093493973,1.040786989,1.086150708,1.014407313,1.2087037,1.106720833,+2.868e-5,+1.8413368032787555e-1,+8.674955949103079e-1,+5.19e-6
ThreadLocalE2E,2,1000,100000000,1000,0,0,+1.076817512512207e-3,0.229677213,0.219987935,0.216099991,0.217589766,0.225980965,0.223028754,0.218659798,0.225045851,0.217903711,+2.222e-5,+1.876278178683746e-1,+3.304082827885502e-2,+3.18694e-4
PartitionedE2E,2,1000,100000000,1000,0,0,+1.9409656524658203e-3,0.301224122,0.302449961,0.297414885,0.301780983,0.301091014,0.300415116,0.293313145,0.301550706,0.306018682,+5.4e-7,+3.00921937e-1,+3.38934e-4,+9.84e-6
AtomicE2E,2,10000000,100000000,10000000,0,0,+5.225597620010376e-1,1.587099082,1.5982515849999999,1.590648904,1.5892331290000001,1.601596862,1.589005204,1.593519559,1.5975267419999999,1.584396544,+7.6937068e-2,+1.1387428581652694e0,+3.740678264147702e-1,+1.252669e-3
LockingE2E,2,10000000,100000000,10000000,0,0,+6.343241930007935e-1,3.008671316,3.039966622,3.016214884,3.013445263,3.01673855,3.02945792,3.014916897,3.02079837,3.019968327,+7.9961188e-2,+1.1771561063493585e0,+1.7615003914987208e0,+1.879018e-3
ThreadLocalE2E,2,10000000,100000000,10000000,0,0,+5.970733165740967e-1,1.558560447,1.5175110649999999,1.536850442,1.576522337,1.563579205,1.5606037160000001,1.547639394,1.5671472770000001,1.556662094,+5.2196085e-2,+1.174522392485719e0,+3.223824078034591e-1,+5.301851e-3
PartitionedE2E,2,10000000,100000000,10000000,0,0,+3.75188946723938e0,2.576027055,2.5269741,2.5373260970000002,2.531701514,2.543858421,2.5368248209999997,2.531343605,2.566649324,2.55507243,+4.9e-7,+6.46464662e-1,+1.869008564e0,+2.5789707e-2
AtomicE2E,2,100000000,100000000,100000000,0,0,+5.216425657272339e0,2.467946498,2.476879349,2.470402159,2.4976599139999998,2.473000129,2.459494087,2.484502679,2.551157153,2.471949503,+2.51220481e-1,+1.7952328842645424e0,+4.133735496749162e-1,+9.373683e-3
